"phenx","icd10_desc","combo","organ","subcombo"
"Blindness and vision defects","Visual distortions of shape and size","Blind/visual defects","Eyes & Ears",NA
"Hearing loss","Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side","Hearing loss","Eyes & Ears",NA
"Hearing loss","Mixed conductive and sensorineural hearing loss, unilateral, left ear with restricted hearing on the contralateral side","Hearing loss","Eyes & Ears",NA
"Hearing loss","Mixed conductive and sensorineural hearing loss, unilateral, right ear with restricted hearing on the contralateral side","Hearing loss","Eyes & Ears",NA
"Hearing loss","Ototoxic hearing loss, unspecified ear","Hearing loss","Eyes & Ears",NA
"Hearing loss","Sensorineural hearing loss, unilateral, left ear, with restricted hearing on the contralateral side","Hearing loss","Eyes & Ears",NA
"Hearing loss","Sensorineural hearing loss, unilateral, right ear, with restricted hearing on the contralateral side","Hearing loss","Eyes & Ears",NA
"Abdominal symptoms","Epigastric swelling, mass or lump","Abdominal s/s","GI","Swelling"
"Abdominal symptoms","Fecal smearing","Abdominal s/s","GI",NA
"Abdominal symptoms","Hyperactive bowel sounds","Abdominal s/s","GI",NA
"Abdominal symptoms","Incomplete defecation","Abdominal s/s","GI",NA
"Abdominal symptoms","Left lower quadrant abdominal tenderness","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Left upper quadrant abdominal swelling, mass and lump","Abdominal s/s","GI","Swelling"
"Abdominal symptoms","Right upper quadrant abdominal tenderness","Abdominal s/s","GI","Pain"
"Biliary tract disease","Biliary cyst","Biliary","GI",NA
"Biliary tract disease","Calculus of bile duct with acute and chronic cholecystitis without obstruction","Biliary","GI",NA
"Biliary tract disease","Calculus of bile duct with acute cholangitis with obstruction","Biliary","GI",NA
"Biliary tract disease","Calculus of bile duct with acute cholecystitis without obstruction","Biliary","GI",NA
"Biliary tract disease","Calculus of bile duct with cholecystitis, unspecified, with obstruction","Biliary","GI",NA
"Biliary tract disease","Calculus of gallbladder and bile duct with chronic cholecystitis without obstruction","Biliary","GI",NA
"Biliary tract disease","Obstruction of gallbladder","Biliary","GI",NA
"Esophageal disorders","Achalasia of cardia","Esophageal disorders","GI",NA
"Esophageal disorders","Barrett's esophagus with high grade dysplasia","Esophageal disorders","GI",NA
"Esophageal disorders","Diverticulum of esophagus, acquired","Esophageal disorders","GI",NA
"Esophageal disorders","Perforation of esophagus","Esophageal disorders","GI",NA
"Other specified and unspecified gastrointestinal disorders","Tropical sprue","GI disorder","GI","Intestinal disease"
"Other specified and unspecified hematologic conditions","Abscess of spleen","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Chronic congestive splenomegaly","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Cyst of spleen","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Disease of spleen, unspecified","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Familial erythrocytosis","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Hypersplenism","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Hyposplenism","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Myelofibrosis","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Other diseases of spleen","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Other specified diseases of blood and blood-forming organs","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Secondary polycythemia","Spleen","GI",NA
"Other specified and unspecified liver disease","Hepatopulmonary syndrome","Liver","GI",NA
"Other specified and unspecified liver disease","Hepatorenal syndrome","Liver","GI",NA
"Other specified and unspecified liver disease","Infarction of liver","Liver","GI",NA
"Other specified and unspecified liver disease","Liver and biliary tract disorders in pregnancy, first trimester","Liver","GI",NA
"Other specified and unspecified liver disease","Toxic liver disease with cholestasis","Liver","GI",NA
"Regional enteritis and ulcerative colitis","Crohn's disease of both small and large intestine with fistula","GI disorder","GI","IBD"
