"phenx","icd10_desc","combo","organ","subcombo"
"Regional enteritis and ulcerative colitis","Other ulcerative colitis with rectal bleeding","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) pancolitis with rectal bleeding","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) pancolitis with unspecified complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) pancolitis without complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) proctitis with rectal bleeding","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) proctitis with unspecified complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) proctitis without complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) rectosigmoiditis with rectal bleeding","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative (chronic) rectosigmoiditis without complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative colitis, unspecified with rectal bleeding","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative colitis, unspecified with unspecified complications","GI disorder","GI","IBD"
"Regional enteritis and ulcerative colitis","Ulcerative colitis, unspecified, without complications","GI disorder","GI","IBD"
"Abdominal symptoms","Abdominal distension (gaseous)","Abdominal s/s","GI","Distension"
"Abdominal symptoms","Abdominal tenderness, unspecified site","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Acute abdomen","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Colic","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Epigastric abdominal tenderness","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Eructation","Abdominal s/s","GI","Other"
"Abdominal symptoms","Gas pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Generalized abdominal pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Halitosis","Abdominal s/s","GI","Other"
"Abdominal symptoms","Left lower quadrant abdominal swelling, mass and lump","Abdominal s/s","GI","Other"
"Abdominal symptoms","Left lower quadrant pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Left upper quadrant abdominal tenderness","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Left upper quadrant pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Left upper quadrant rebound abdominal tenderness","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Lower abdominal pain, unspecified","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Other ascites","Abdominal s/s","GI","Ascites"
"Abdominal symptoms","Periumbilic swelling, mass or lump","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Periumbilical pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Right lower quadrant abdominal swelling, mass and lump","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Right lower quadrant abdominal tenderness","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Right lower quadrant pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Right upper quadrant abdominal swelling, mass and lump","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Right upper quadrant pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Unspecified abdominal pain","Abdominal s/s","GI","Pain"
"Abdominal symptoms","Unspecified jaundice","Abdominal s/s","GI","Jaundice"
"Abdominal symptoms","Upper abdominal pain, unspecified","Abdominal s/s","GI","Pain"
"Abnormal findings without diagnosis","Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum","Abnormal Labs/Tests","GI",NA
"Gastrointestinal System Procedures",NA,"GI Procedures","GI",NA
"Abdominal symptoms","Hepatomegaly with splenomegaly, not elsewhere classified","Liver","GI",NA
"Abdominal symptoms","Hepatomegaly, not elsewhere classified","Liver","GI",NA
"Abnormal findings without diagnosis","Abnormal findings on diagnostic imaging of liver and biliary tract","Liver","GI",NA
"Abnormal findings without diagnosis","Abnormal results of liver function studies","Liver","GI",NA
"Abnormal findings without diagnosis","Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH]","Liver","GI",NA
"Other specified and unspecified liver disease","Alcoholic cirrhosis of liver with ascites","Liver","GI",NA
"Other specified and unspecified liver disease","Alcoholic cirrhosis of liver without ascites","Liver","GI",NA
"Other specified and unspecified liver disease","Alcoholic fatty liver","Liver","GI",NA
"Other specified and unspecified liver disease","Alcoholic liver disease, unspecified","Liver","GI",NA
"Other specified and unspecified liver disease","Chronic passive congestion of liver","Liver","GI",NA
"Other specified and unspecified liver disease","Fatty (change of) liver, not elsewhere classified","Liver","GI",NA
"Other specified and unspecified liver disease","Hepatic veno-occlusive disease","Liver","GI",NA
"Other specified and unspecified liver disease","Inflammatory liver disease, unspecified","Liver","GI",NA
"Other specified and unspecified liver disease","Liver and biliary tract disorders in childbirth","Liver","GI",NA
"Other specified and unspecified liver disease","Liver and biliary tract disorders in pregnancy, second trimester","Liver","GI",NA
"Other specified and unspecified liver disease","Liver and biliary tract disorders in pregnancy, third trimester","Liver","GI",NA
"Other specified and unspecified liver disease","Liver and biliary tract disorders in pregnancy, unspecified trimester","Liver","GI",NA
"Other specified and unspecified liver disease","Liver disease, unspecified","Liver","GI",NA
"Other specified and unspecified liver disease","Other cirrhosis of liver","Liver","GI",NA
"Other specified and unspecified liver disease","Other specified diseases of liver","Liver","GI",NA
"Other specified and unspecified liver disease","Other specified inflammatory liver diseases","Liver","GI",NA
"Other specified and unspecified liver disease","Phlebitis of portal vein","Liver","GI",NA
"Other specified and unspecified liver disease","Portal hypertension","Liver","GI",NA
"Other specified and unspecified liver disease","Primary biliary cirrhosis","Liver","GI",NA
"Other specified and unspecified liver disease","Toxic liver disease, unspecified","Liver","GI",NA
"Other specified and unspecified liver disease","Unspecified cirrhosis of liver","Liver","GI",NA
"Abdominal symptoms","Splenomegaly, not elsewhere classified","Spleen","GI",NA
"Other specified and unspecified hematologic conditions","Infarction of spleen","Spleen","GI",NA
"Abdominal symptoms","Generalized intra-abdominal and pelvic swelling, mass and lump","Abdominal s/s","Gynecology/Pelvis","Swelling/mass"
"Abdominal symptoms","Intra-abdominal and pelvic swelling, mass and lump, unspecified site","Abdominal s/s","Gynecology/Pelvis","Swelling/mass"
"Abdominal symptoms","Other intra-abdominal and pelvic swelling, mass and lump","Abdominal s/s","Gynecology/Pelvis","Swelling/mass"
"Abdominal symptoms","Pelvic and perineal pain","Abdominal s/s","Gynecology/Pelvis","Pain"
"Abnormal findings without diagnosis","Abnormal microbiological findings in specimens from female genital organs","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Anal high risk human papillomavirus (HPV) DNA test positive","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Atypical squamous cells cannot exclude high grade squamous intraepithelial lesion on cytologic smear of cervix (ASC-H)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Atypical squamous cells of undetermined significance on cytologic smear of cervix (ASC-US)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Atypical squamous cells of undetermined significance on cytologic smear of vagina (ASC-US)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Cervical high risk human papillomavirus (HPV) DNA test positive","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Elevated cancer antigen 125 [CA 125]","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","High grade squamous intraepithelial lesion on cytologic smear of cervix (HGSIL)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","High grade squamous intraepithelial lesion on cytologic smear of vagina (HGSIL)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Low grade squamous intraepithelial lesion on cytologic smear of cervix (LGSIL)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Low grade squamous intraepithelial lesion on cytologic smear of vagina (LGSIL)","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Other abnormal cytological findings on specimens from cervix uteri","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Other abnormal findings in specimens from female genital organs","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Unsatisfactory cytologic smear of cervix","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Unspecified abnormal cytological findings in specimens from cervix uteri","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Unspecified abnormal cytological findings in specimens from vagina","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Vaginal high risk human papillomavirus (HPV) DNA test positive","Abnormal Labs/Tests","Gynecology/Pelvis",NA
"Diabetes mellitus","Gestational diabetes mellitus in pregnancy, diet controlled","Gestational Diabetes","Gynecology/Pelvis",NA
"Diabetes mellitus","Gestational diabetes mellitus in pregnancy, unspecified control","Gestational Diabetes","Gynecology/Pelvis",NA
"Other specified and unspecified diseases of kidney and ureters","Pregnancy related renal disease, second trimester","Pregnancy Renal dz","Gynecology/Pelvis",NA
"Abnormal findings without diagnosis","Abnormal coagulation profile","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Abnormal finding of blood chemistry, unspecified","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Abnormal level of blood mineral","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Abnormality of globulin","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Abnormality of plasma protein, unspecified","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Other abnormality of red blood cells","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Other specified abnormal findings of blood chemistry","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Precipitous drop in hematocrit","Abnormal Labs/Tests","Systemic",NA
"Other specified and unspecified hematologic conditions","Disease of blood and blood-forming organs, unspecified","Hematologic condition","Systemic",NA
"Abnormal findings without diagnosis","Abnormal immunological finding in serum, unspecified","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Abnormal immunological findings in specimens from other organs, systems and tissues","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Bacteremia","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Elevated C-reactive protein (CRP)","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Elevated erythrocyte sedimentation rate","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Inconclusive laboratory evidence of human immunodeficiency virus [HIV]","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Nonspecific reaction to tuberculin skin test without active tuberculosis","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Other specified abnormal immunological findings in serum","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Other specified abnormalities of plasma proteins","Abnormal Labs/Tests","Systemic",NA
"Abnormal findings without diagnosis","Raised antibody titer","Abnormal Labs/Tests","Systemic",NA
"Immunity disorders","Acute graft-versus-host disease","Immunity disorders","Systemic",NA
"Immunity disorders","Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia","Immunity disorders","Systemic",NA
"Immunity disorders","Common variable immunodeficiency, unspecified","Immunity disorders","Systemic",NA
"Immunity disorders","Disorder involving the immune mechanism, unspecified","Immunity disorders","Systemic",NA
"Immunity disorders","Graft-versus-host disease, unspecified","Immunity disorders","Systemic",NA
"Immunity disorders","Immunodeficiency, unspecified","Immunity disorders","Systemic",NA
"Immunity disorders","Nonfamilial hypogammaglobulinemia","Immunity disorders","Systemic",NA
"Immunity disorders","Other specified disorders involving the immune mechanism, not elsewhere classified","Immunity disorders","Systemic",NA
"Immunity disorders","Polyclonal hypergammaglobulinemia","Immunity disorders","Systemic",NA
"Immunity disorders","Sarcoid myocarditis","Immunity disorders","Systemic",NA
"Immunity disorders","Sarcoidosis of lung","Immunity disorders","Systemic",NA
"Immunity disorders","Sarcoidosis of lung with sarcoidosis of lymph nodes","Immunity disorders","Systemic",NA
"Immunity disorders","Sarcoidosis, unspecified","Immunity disorders","Systemic",NA
"Abnormal findings without diagnosis","Abnormal findings on diagnostic imaging of limbs","Abnormal Labs/Tests","MSK",NA
"Abnormal findings without diagnosis","Abnormal findings on diagnostic imaging of other parts of musculoskeletal system","Abnormal Labs/Tests","MSK",NA
"Abnormal findings without diagnosis","Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified","Abnormal Labs/Tests","MSK",NA
"Other general signs and symptoms","Clicking hip","MSK s/s","MSK",NA
"Other general signs and symptoms","Other symptoms and signs involving the musculoskeletal system","MSK s/s","MSK",NA
"Other general signs and symptoms","Unspecified symptoms and signs involving the musculoskeletal system","MSK s/s","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Ankylosing hyperostosis [Forestier], site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder with myelopathy, high cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder with radiculopathy, cervicothoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder with radiculopathy, high cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder with radiculopathy, unspecified cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Cervical disc disorder, unspecified, unspecified cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Cervicalgia","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Deforming dorsopathy, unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Discitis, unspecified, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Discitis, unspecified, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Fusion of spine, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Infection of intervertebral disc (pyogenic), cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Intervertebral disc disorders with myelopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Intervertebral disc disorders with radiculopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Intervertebral disc disorders with radiculopathy, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Intervertebral disc disorders with radiculopathy, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Intervertebral disc disorders with radiculopathy, thoracolumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Lumbago with sciatica, left side","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Lumbago with sciatica, right side","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Lumbago with sciatica, unspecified side","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc degeneration, high cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc degeneration, unspecified cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc displacement, high cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other cervical disc displacement, unspecified cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc degeneration, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc degeneration, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc degeneration, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc degeneration, thoracolumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc disorders, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc displacement, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc displacement, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other intervertebral disc displacement, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other specified dorsopathies, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other specified dorsopathies, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other specified dorsopathies, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with myelopathy, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with myelopathy, cervicothoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with myelopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with radiculopathy, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with radiculopathy, cervicothoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with radiculopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with radiculopathy, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Other spondylosis with radiculopathy, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, occipito-atlanto-axial region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, sacral and sacrococcygeal region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Radiculopathy, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Sacrococcygeal disorders, not elsewhere classified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Sacroiliitis, not elsewhere classified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Sciatica, left side","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Sciatica, right side","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Sciatica, unspecified side","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal instabilities, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal instabilities, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal instabilities, sacral and sacrococcygeal region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, cervicothoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spinal stenosis, thoracolumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolisthesis, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolisthesis, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolisthesis, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolisthesis, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylolysis, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, site unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, thoracic region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis without myelopathy or radiculopathy, thoracolumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Spondylosis, unspecified","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Torticollis","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Unspecified inflammatory spondylopathy, cervical region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Unspecified inflammatory spondylopathy, lumbar region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Unspecified inflammatory spondylopathy, lumbosacral region","Spondylo(arthro)pathy","MSK",NA
"Spondylopathies/spondyloarthropathy (including infective)","Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder","Spondylo(arthro)pathy","MSK",NA
"Abnormal findings without diagnosis","Abnormal cytological findings in cerebrospinal fluid","Abnormal Labs/Tests","Neurology",NA
"Abnormal findings without diagnosis","Abnormal electroencephalogram [EEG]","Abnormal Labs/Tests","Neurology",NA
"Abnormal findings without diagnosis","Other abnormal findings on diagnostic imaging of central nervous system","Abnormal Labs/Tests","Neurology",NA
"Abnormal findings without diagnosis","White matter disease, unspecified","Abnormal Labs/Tests","Neurology",NA
"Diabetes mellitus, Type 2","Type 2 diabetes mellitus with other diabetic neurological complication","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Other specified diabetes mellitus with diabetic polyneuropathy","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Type 1 diabetes mellitus with diabetic neuropathy, unspecified","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Type 1 diabetes mellitus with diabetic polyneuropathy","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Type 2 diabetes mellitus with diabetic neuropathy, unspecified","Diabetic Neuropathy","Neurology",NA
"Diabetes mellitus; nerve","Type 2 diabetes mellitus with diabetic polyneuropathy","Diabetic Neuropathy","Neurology",NA
"Headache; including migraine","Acute post-traumatic headache, intractable","Headache","Neurology",NA
"Headache; including migraine","Acute post-traumatic headache, not intractable","Headache","Neurology",NA
"Headache; including migraine","Chronic migraine without aura, intractable, with status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Chronic migraine without aura, intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Chronic migraine without aura, not intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Chronic paroxysmal hemicrania, not intractable","Headache","Neurology",NA
"Headache; including migraine","Chronic post-traumatic headache, not intractable","Headache","Neurology",NA
"Headache; including migraine","Chronic tension-type headache, not intractable","Headache","Neurology",NA
"Headache; including migraine","Cluster headache syndrome, unspecified, not intractable","Headache","Neurology",NA
"Headache; including migraine","Episodic cluster headache, intractable","Headache","Neurology",NA
"Headache; including migraine","Episodic cluster headache, not intractable","Headache","Neurology",NA
"Headache; including migraine","Episodic paroxysmal hemicrania, intractable","Headache","Neurology",NA
"Headache; including migraine","Episodic paroxysmal hemicrania, not intractable","Headache","Neurology",NA
"Headache; including migraine","Episodic tension-type headache, not intractable","Headache","Neurology",NA
"Headache; including migraine","Headache","Headache","Neurology",NA
"Headache; including migraine","Hemiplegic migraine, not intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Hypnic headache","Headache","Neurology",NA
"Headache; including migraine","Menstrual migraine, not intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine with aura, intractable, with status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine with aura, intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine with aura, not intractable, with status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine with aura, not intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine without aura, intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine without aura, not intractable, with status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine without aura, not intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine, unspecified, intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine, unspecified, not intractable, with status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","Migraine, unspecified, not intractable, without status migrainosus","Migraine","Neurology",NA
"Headache; including migraine","New daily persistent headache (NDPH)","Headache","Neurology",NA
