phenx,ICD10_desc,combo,Organ,count,Subcombo
Abnormal findings without diagnosis,Abnormal coagulation profile,Abnormal Labs/Tests,Systemic,13,
Abnormal findings without diagnosis,"Abnormal finding of blood chemistry, unspecified",Abnormal Labs/Tests,Systemic,15,
Abnormal findings without diagnosis,Abnormal level of blood mineral,Abnormal Labs/Tests,Systemic,12,
Abnormal findings without diagnosis,Abnormality of globulin,Abnormal Labs/Tests,Systemic,1,
Abnormal findings without diagnosis,"Abnormality of plasma protein, unspecified",Abnormal Labs/Tests,Systemic,1,
Abnormal findings without diagnosis,Other abnormality of red blood cells,Abnormal Labs/Tests,Systemic,12,
Abnormal findings without diagnosis,Other specified abnormal findings of blood chemistry,Abnormal Labs/Tests,Systemic,340,
Abnormal findings without diagnosis,Precipitous drop in hematocrit,Abnormal Labs/Tests,Systemic,4,
Other specified and unspecified hematologic conditions,"Disease of blood and blood-forming organs, unspecified",Hematologic condition,Systemic,2,
Abnormal findings without diagnosis,"Abnormal immunological finding in serum, unspecified",Abnormal Labs/Tests,Systemic,4,
Abnormal findings without diagnosis,"Abnormal immunological findings in specimens from other organs, systems and tissues",Abnormal Labs/Tests,Systemic,1,
Abnormal findings without diagnosis,Bacteremia,Abnormal Labs/Tests,Systemic,33,
Abnormal findings without diagnosis,Elevated C-reactive protein (CRP),Abnormal Labs/Tests,Systemic,22,
Abnormal findings without diagnosis,Elevated erythrocyte sedimentation rate,Abnormal Labs/Tests,Systemic,4,
Abnormal findings without diagnosis,Inconclusive laboratory evidence of human immunodeficiency virus [HIV],Abnormal Labs/Tests,Systemic,2,
Abnormal findings without diagnosis,Nonspecific reaction to cell mediated immunity measurement of gamma interferon antigen response without active tuberculosis,Abnormal Labs/Tests,Systemic,5,
Abnormal findings without diagnosis,Nonspecific reaction to tuberculin skin test without active tuberculosis,Abnormal Labs/Tests,Systemic,14,
Abnormal findings without diagnosis,Other specified abnormal immunological findings in serum,Abnormal Labs/Tests,Systemic,80,
Abnormal findings without diagnosis,Other specified abnormalities of plasma proteins,Abnormal Labs/Tests,Systemic,13,
Abnormal findings without diagnosis,Raised antibody titer,Abnormal Labs/Tests,Systemic,5,
Immunity disorders,Acute graft-versus-host disease,Immunity disorders,Systemic,1,
Immunity disorders,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia,Immunity disorders,Systemic,1,
Immunity disorders,"Common variable immunodeficiency, unspecified",Immunity disorders,Systemic,2,
Immunity disorders,"Disorder involving the immune mechanism, unspecified",Immunity disorders,Systemic,12,
Immunity disorders,"Graft-versus-host disease, unspecified",Immunity disorders,Systemic,2,
Immunity disorders,"Immunodeficiency, unspecified",Immunity disorders,Systemic,24,
Immunity disorders,Nonfamilial hypogammaglobulinemia,Immunity disorders,Systemic,8,
Immunity disorders,"Other specified disorders involving the immune mechanism, not elsewhere classified",Immunity disorders,Systemic,12,
Immunity disorders,Polyclonal hypergammaglobulinemia,Immunity disorders,Systemic,1,
Immunity disorders,Sarcoid myocarditis,Immunity disorders,Systemic,1,
Immunity disorders,Sarcoidosis of lung,Immunity disorders,Systemic,1,
Immunity disorders,Sarcoidosis of lung with sarcoidosis of lymph nodes,Immunity disorders,Systemic,1,
Immunity disorders,"Sarcoidosis, unspecified",Immunity disorders,Systemic,5,
Abnormal findings without diagnosis,Abnormal findings on diagnostic imaging of limbs,Abnormal Labs/Tests,MSK,1,
Abnormal findings without diagnosis,Abnormal findings on diagnostic imaging of other parts of musculoskeletal system,Abnormal Labs/Tests,MSK,14,
Abnormal findings without diagnosis,"Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified",Abnormal Labs/Tests,MSK,11,
Other general signs and symptoms,Clicking hip,MSK s/s,MSK,1,
Other general signs and symptoms,Other symptoms and signs involving the musculoskeletal system,MSK s/s,MSK,451,
Other general signs and symptoms,Unspecified symptoms and signs involving the musculoskeletal system,MSK s/s,MSK,5,
Spondylopathies/spondyloarthropathy (including infective),"Ankylosing hyperostosis [Forestier], site unspecified",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Cervical disc disorder with myelopathy, high cervical region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Cervical disc disorder with radiculopathy, cervicothoracic region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Cervical disc disorder with radiculopathy, high cervical region",Spondylo(arthro)pathy,MSK,4,
Spondylopathies/spondyloarthropathy (including infective),"Cervical disc disorder with radiculopathy, unspecified cervical region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Cervical disc disorder, unspecified, unspecified cervical region",Spondylo(arthro)pathy,MSK,5,
Spondylopathies/spondyloarthropathy (including infective),Cervicalgia,Spondylo(arthro)pathy,MSK,398,
Spondylopathies/spondyloarthropathy (including infective),"Deforming dorsopathy, unspecified",Spondylo(arthro)pathy,MSK,3,
Spondylopathies/spondyloarthropathy (including infective),"Discitis, unspecified, cervical region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Discitis, unspecified, site unspecified",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Fusion of spine, lumbosacral region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Infection of intervertebral disc (pyogenic), cervical region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Intervertebral disc disorders with myelopathy, lumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Intervertebral disc disorders with radiculopathy, lumbar region",Spondylo(arthro)pathy,MSK,23,
Spondylopathies/spondyloarthropathy (including infective),"Intervertebral disc disorders with radiculopathy, lumbosacral region",Spondylo(arthro)pathy,MSK,22,
Spondylopathies/spondyloarthropathy (including infective),"Intervertebral disc disorders with radiculopathy, thoracic region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Intervertebral disc disorders with radiculopathy, thoracolumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Lumbago with sciatica, left side",Spondylo(arthro)pathy,MSK,123,
Spondylopathies/spondyloarthropathy (including infective),"Lumbago with sciatica, right side",Spondylo(arthro)pathy,MSK,139,
Spondylopathies/spondyloarthropathy (including infective),"Lumbago with sciatica, unspecified side",Spondylo(arthro)pathy,MSK,46,
Spondylopathies/spondyloarthropathy (including infective),"Other cervical disc degeneration, high cervical region",Spondylo(arthro)pathy,MSK,3,
Spondylopathies/spondyloarthropathy (including infective),"Other cervical disc degeneration, unspecified cervical region",Spondylo(arthro)pathy,MSK,13,
Spondylopathies/spondyloarthropathy (including infective),"Other cervical disc displacement, high cervical region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Other cervical disc displacement, unspecified cervical region",Spondylo(arthro)pathy,MSK,4,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc degeneration, lumbar region",Spondylo(arthro)pathy,MSK,67,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc degeneration, lumbosacral region",Spondylo(arthro)pathy,MSK,37,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc degeneration, thoracic region",Spondylo(arthro)pathy,MSK,7,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc degeneration, thoracolumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc disorders, lumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc displacement, lumbar region",Spondylo(arthro)pathy,MSK,30,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc displacement, lumbosacral region",Spondylo(arthro)pathy,MSK,14,
Spondylopathies/spondyloarthropathy (including infective),"Other intervertebral disc displacement, thoracic region",Spondylo(arthro)pathy,MSK,3,
Spondylopathies/spondyloarthropathy (including infective),"Other specified dorsopathies, cervical region",Spondylo(arthro)pathy,MSK,3,
Spondylopathies/spondyloarthropathy (including infective),"Other specified dorsopathies, lumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Other specified dorsopathies, lumbosacral region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with myelopathy, cervical region",Spondylo(arthro)pathy,MSK,3,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with myelopathy, cervicothoracic region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with myelopathy, lumbar region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with radiculopathy, cervical region",Spondylo(arthro)pathy,MSK,33,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with radiculopathy, cervicothoracic region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with radiculopathy, lumbar region",Spondylo(arthro)pathy,MSK,29,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with radiculopathy, lumbosacral region",Spondylo(arthro)pathy,MSK,27,
Spondylopathies/spondyloarthropathy (including infective),"Other spondylosis with radiculopathy, thoracic region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, cervical region",Spondylo(arthro)pathy,MSK,117,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, lumbar region",Spondylo(arthro)pathy,MSK,152,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, lumbosacral region",Spondylo(arthro)pathy,MSK,41,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, occipito-atlanto-axial region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, sacral and sacrococcygeal region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, site unspecified",Spondylo(arthro)pathy,MSK,20,
Spondylopathies/spondyloarthropathy (including infective),"Radiculopathy, thoracic region",Spondylo(arthro)pathy,MSK,3,
Spondylopathies/spondyloarthropathy (including infective),"Sacrococcygeal disorders, not elsewhere classified",Spondylo(arthro)pathy,MSK,78,
Spondylopathies/spondyloarthropathy (including infective),"Sacroiliitis, not elsewhere classified",Spondylo(arthro)pathy,MSK,9,
Spondylopathies/spondyloarthropathy (including infective),"Sciatica, left side",Spondylo(arthro)pathy,MSK,35,
Spondylopathies/spondyloarthropathy (including infective),"Sciatica, right side",Spondylo(arthro)pathy,MSK,37,
Spondylopathies/spondyloarthropathy (including infective),"Sciatica, unspecified side",Spondylo(arthro)pathy,MSK,15,
Spondylopathies/spondyloarthropathy (including infective),"Spinal instabilities, cervical region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Spinal instabilities, lumbar region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Spinal instabilities, sacral and sacrococcygeal region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Spinal stenosis, cervical region",Spondylo(arthro)pathy,MSK,83,
Spondylopathies/spondyloarthropathy (including infective),"Spinal stenosis, cervicothoracic region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Spinal stenosis, lumbosacral region",Spondylo(arthro)pathy,MSK,47,
Spondylopathies/spondyloarthropathy (including infective),"Spinal stenosis, site unspecified",Spondylo(arthro)pathy,MSK,6,
Spondylopathies/spondyloarthropathy (including infective),"Spinal stenosis, thoracic region",Spondylo(arthro)pathy,MSK,6,
Spondylopathies/spondyloarthropathy (including infective),"Spinal stenosis, thoracolumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Spondylolisthesis, cervical region",Spondylo(arthro)pathy,MSK,13,
Spondylopathies/spondyloarthropathy (including infective),"Spondylolisthesis, lumbar region",Spondylo(arthro)pathy,MSK,41,
Spondylopathies/spondyloarthropathy (including infective),"Spondylolisthesis, lumbosacral region",Spondylo(arthro)pathy,MSK,17,
Spondylopathies/spondyloarthropathy (including infective),"Spondylolisthesis, site unspecified",Spondylo(arthro)pathy,MSK,10,
Spondylopathies/spondyloarthropathy (including infective),"Spondylolysis, lumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, cervical region",Spondylo(arthro)pathy,MSK,84,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, lumbar region",Spondylo(arthro)pathy,MSK,162,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, lumbosacral region",Spondylo(arthro)pathy,MSK,62,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, site unspecified",Spondylo(arthro)pathy,MSK,4,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, thoracic region",Spondylo(arthro)pathy,MSK,17,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis without myelopathy or radiculopathy, thoracolumbar region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Spondylosis, unspecified",Spondylo(arthro)pathy,MSK,9,
Spondylopathies/spondyloarthropathy (including infective),Torticollis,Spondylo(arthro)pathy,MSK,8,
Spondylopathies/spondyloarthropathy (including infective),"Unspecified inflammatory spondylopathy, cervical region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Unspecified inflammatory spondylopathy, lumbar region",Spondylo(arthro)pathy,MSK,2,
Spondylopathies/spondyloarthropathy (including infective),"Unspecified inflammatory spondylopathy, lumbosacral region",Spondylo(arthro)pathy,MSK,1,
Spondylopathies/spondyloarthropathy (including infective),"Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder",Spondylo(arthro)pathy,MSK,8,
Abnormal findings without diagnosis,Abnormal cytological findings in cerebrospinal fluid,Abnormal Labs/Tests,Neurology,2,
Abnormal findings without diagnosis,Abnormal electroencephalogram [EEG],Abnormal Labs/Tests,Neurology,4,
Abnormal findings without diagnosis,Other abnormal findings on diagnostic imaging of central nervous system,Abnormal Labs/Tests,Neurology,3,
Abnormal findings without diagnosis,"White matter disease, unspecified",Abnormal Labs/Tests,Neurology,4,
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with other diabetic neurological complication,Diabetic Neuropathy,Neurology,1,
Diabetes mellitus; nerve,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",Diabetic Neuropathy,Neurology,3,
Diabetes mellitus; nerve,"Drug or chemical induced diabetes mellitus with neurological complications with diabetic neuropathy, unspecified",Diabetic Neuropathy,Neurology,1,
Diabetes mellitus; nerve,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,Diabetic Neuropathy,Neurology,1,
Diabetes mellitus; nerve,Other specified diabetes mellitus with diabetic polyneuropathy,Diabetic Neuropathy,Neurology,2,
Diabetes mellitus; nerve,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",Diabetic Neuropathy,Neurology,4,
Diabetes mellitus; nerve,Type 1 diabetes mellitus with diabetic polyneuropathy,Diabetic Neuropathy,Neurology,2,
Diabetes mellitus; nerve,Type 2 diabetes mellitus with diabetic autonomic (poly)neuropathy,Diabetic Neuropathy,Neurology,7,
Diabetes mellitus; nerve,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",Diabetic Neuropathy,Neurology,85,
Diabetes mellitus; nerve,Type 2 diabetes mellitus with diabetic polyneuropathy,Diabetic Neuropathy,Neurology,69,
Headache; including migraine,"Acute post-traumatic headache, intractable",Headache,Neurology,3,
Headache; including migraine,"Acute post-traumatic headache, not intractable",Headache,Neurology,2,
Headache; including migraine,"Chronic migraine without aura, intractable, with status migrainosus",Migraine,Neurology,4,
Headache; including migraine,"Chronic migraine without aura, intractable, without status migrainosus",Migraine,Neurology,4,
Headache; including migraine,"Chronic migraine without aura, not intractable, without status migrainosus",Migraine,Neurology,14,
Headache; including migraine,"Chronic paroxysmal hemicrania, not intractable",Headache,Neurology,2,
Headache; including migraine,"Chronic post-traumatic headache, not intractable",Headache,Neurology,5,
Headache; including migraine,"Chronic tension-type headache, not intractable",Headache,Neurology,16,
Headache; including migraine,"Cluster headache syndrome, unspecified, not intractable",Headache,Neurology,3,
Headache; including migraine,"Episodic cluster headache, intractable",Headache,Neurology,1,
Headache; including migraine,"Episodic cluster headache, not intractable",Headache,Neurology,1,
Headache; including migraine,"Episodic paroxysmal hemicrania, intractable",Headache,Neurology,1,
Headache; including migraine,"Episodic paroxysmal hemicrania, not intractable",Headache,Neurology,2,
Headache; including migraine,"Episodic tension-type headache, not intractable",Headache,Neurology,5,
Headache; including migraine,Headache,Headache,Neurology,28,
Headache; including migraine,"Hemiplegic migraine, not intractable, without status migrainosus",Migraine,Neurology,1,
Headache; including migraine,Hypnic headache,Headache,Neurology,1,
Headache; including migraine,"Menstrual migraine, not intractable, without status migrainosus",Migraine,Neurology,1,
Headache; including migraine,"Migraine with aura, intractable, with status migrainosus",Migraine,Neurology,4,
Headache; including migraine,"Migraine with aura, intractable, without status migrainosus",Migraine,Neurology,1,
Headache; including migraine,"Migraine with aura, not intractable, with status migrainosus",Migraine,Neurology,2,
Headache; including migraine,"Migraine with aura, not intractable, without status migrainosus",Migraine,Neurology,44,
Headache; including migraine,"Migraine without aura, intractable, without status migrainosus",Migraine,Neurology,8,
Headache; including migraine,"Migraine without aura, not intractable, with status migrainosus",Migraine,Neurology,5,
Headache; including migraine,"Migraine without aura, not intractable, without status migrainosus",Migraine,Neurology,40,
Headache; including migraine,"Migraine, unspecified, intractable, without status migrainosus",Migraine,Neurology,2,
Headache; including migraine,"Migraine, unspecified, not intractable, with status migrainosus",Migraine,Neurology,2,
Headache; including migraine,"Migraine, unspecified, not intractable, without status migrainosus",Migraine,Neurology,76,
Headache; including migraine,New daily persistent headache (NDPH),Headache,Neurology,16,
Headache; including migraine,"Ophthalmoplegic migraine, not intractable",Migraine,Neurology,1,
Headache; including migraine,Other complicated headache syndrome,Headache,Neurology,5,
Headache; including migraine,Other headache syndrome,Headache,Neurology,46,
Headache; including migraine,"Other migraine, intractable, without status migrainosus",Migraine,Neurology,1,
Headache; including migraine,"Other migraine, not intractable, without status migrainosus",Migraine,Neurology,19,
Headache; including migraine,"Periodic headache syndromes in child or adult, intractable",Headache,Neurology,1,
Headache; including migraine,"Periodic headache syndromes in child or adult, not intractable",Headache,Neurology,3,
Headache; including migraine,"Post-traumatic headache, unspecified, intractable",Headache,Neurology,1,
Headache; including migraine,"Post-traumatic headache, unspecified, not intractable",Headache,Neurology,3,
Headache; including migraine,"Short lasting unilateral neuralgiform headache with conjunctival injection and tearing (SUNCT), not intractable",Headache,Neurology,1,
Headache; including migraine,"Tension-type headache, unspecified, intractable",Headache,Neurology,8,
Headache; including migraine,"Tension-type headache, unspecified, not intractable",Headache,Neurology,28,
Headache; including migraine,"Vascular headache, not elsewhere classified",Headache,Neurology,3,
Nervous system pain and pain syndromes,Acute pain due to trauma,Pain syndrome,Neurology,16,
Nervous system pain and pain syndromes,Central pain syndrome,Pain syndrome,Neurology,1,
Nervous system pain and pain syndromes,Chronic pain due to trauma,Pain syndrome,Neurology,5,
Nervous system pain and pain syndromes,Chronic pain syndrome,Pain syndrome,Neurology,19,
Nervous system pain and pain syndromes,Complex regional pain syndrome I of right lower limb,Pain syndrome,Neurology,1,
Nervous system pain and pain syndromes,Horner's syndrome,Pain syndrome,Neurology,1,
Nervous system pain and pain syndromes,Other acute postprocedural pain,Pain syndrome,Neurology,66,
Nervous system pain and pain syndromes,Other chronic pain,Pain syndrome,Neurology,971,
Nervous system pain and pain syndromes,Other chronic postprocedural pain,Pain syndrome,Neurology,2,
Nervous system signs and symptoms,Abnormal reflex,Nervous system s/s,Neurology,4,Abnormal reflex
Nervous system signs and symptoms,Age-related cognitive decline,Nervous system s/s,Neurology,2,Abnormal Cognition
Nervous system signs and symptoms,Agnosia,Nervous system s/s,Neurology,2,Agnosia
Nervous system signs and symptoms,"Altered mental status, unspecified",Nervous system s/s,Neurology,160,Abnormal Cognition
Nervous system signs and symptoms,Anosmia,Nervous system s/s,Neurology,47,Abnormal Smell/Taste
Nervous system signs and symptoms,Aphasia,Nervous system s/s,Neurology,16,Abnormal Speech
Nervous system signs and symptoms,Apraxia,Nervous system s/s,Neurology,2,Abnormal Speech
Nervous system signs and symptoms,"Ataxia, unspecified",Nervous system s/s,Neurology,12,Abnormal Gait
Nervous system signs and symptoms,Ataxic gait,Nervous system s/s,Neurology,3,Abnormal Gait
Nervous system signs and symptoms,Attention and concentration deficit,Nervous system s/s,Neurology,52,Abnormal Cognition
Nervous system signs and symptoms,Cognitive communication deficit,Nervous system s/s,Neurology,20,Abnormal Cognition
Nervous system signs and symptoms,"Coma scale, best motor response, abnormal flexion, 24 hours or more after hospital admission",Nervous system s/s,Neurology,1,Coma
Nervous system signs and symptoms,"Coma scale, best motor response, obeys commands, at arrival to emergency department",Nervous system s/s,Neurology,2,Coma
Nervous system signs and symptoms,"Coma scale, best motor response, obeys commands, at hospital admission",Nervous system s/s,Neurology,1,Coma
Nervous system signs and symptoms,"Coma scale, best verbal response, oriented, 24 hours or more after hospital admission",Nervous system s/s,Neurology,1,Coma
Nervous system signs and symptoms,"Coma scale, best verbal response, oriented, at arrival to emergency department",Nervous system s/s,Neurology,2,Coma
Nervous system signs and symptoms,"Coma scale, best verbal response, oriented, at hospital admission",Nervous system s/s,Neurology,1,Coma
Nervous system signs and symptoms,"Coma scale, eyes open, spontaneous, at arrival to emergency department",Nervous system s/s,Neurology,2,Coma
Nervous system signs and symptoms,"Coma scale, eyes open, spontaneous, at hospital admission",Nervous system s/s,Neurology,1,Coma
Nervous system signs and symptoms,"Coma scale, eyes open, to sound, 24 hours or more after hospital admission",Nervous system s/s,Neurology,1,Coma
Nervous system signs and symptoms,"Difficulty in walking, not elsewhere classified",Nervous system s/s,Neurology,20,Abnormal Gait
Nervous system signs and symptoms,"Disorientation, unspecified",Nervous system s/s,Neurology,110,Abnormal Cognition
Nervous system signs and symptoms,Dysarthria and anarthria,Nervous system s/s,Neurology,14,Abnormal Speech
Nervous system signs and symptoms,Dyslexia and alexia,Nervous system s/s,Neurology,2,Abnormal Speech
Nervous system signs and symptoms,Dysphasia,Nervous system s/s,Neurology,4,Abnormal Speech
Nervous system signs and symptoms,Facial weakness,Nervous system s/s,Neurology,15,Facial weakness
Nervous system signs and symptoms,Fasciculation,Nervous system s/s,Neurology,13,Fasciculation
Nervous system signs and symptoms,Frontal lobe and executive function deficit,Nervous system s/s,Neurology,4,Abnormal Cognition
Nervous system signs and symptoms,Functional quadriplegia,Nervous system s/s,Neurology,1,Abnormal Gait
Nervous system signs and symptoms,Neurologic neglect syndrome,Nervous system s/s,Neurology,1,Other
Nervous system signs and symptoms,Other abnormal involuntary movements,Nervous system s/s,Neurology,6,Abnormal Gait
Nervous system signs and symptoms,Other abnormalities of gait and mobility,Nervous system s/s,Neurology,100,Abnormal Gait
Nervous system signs and symptoms,Other amnesia,Nervous system s/s,Neurology,177,Amnesia
Nervous system signs and symptoms,Other disturbances of smell and taste,Nervous system s/s,Neurology,14,Abnormal Smell/Taste
Nervous system signs and symptoms,Other lack of coordination,Nervous system s/s,Neurology,4,Abnormal Gait
Nervous system signs and symptoms,Other speech disturbances,Nervous system s/s,Neurology,13,Abnormal Speech
Nervous system signs and symptoms,Other symptoms and signs involving cognitive functions and awareness,Nervous system s/s,Neurology,111,Abnormal Cognition
Nervous system signs and symptoms,Other symptoms and signs involving the nervous system,Nervous system s/s,Neurology,85,Other
Nervous system signs and symptoms,Parageusia,Nervous system s/s,Neurology,23,Abnormal Smell/Taste
Nervous system signs and symptoms,Paralytic gait,Nervous system s/s,Neurology,1,Abnormal Gait
Nervous system signs and symptoms,Parosmia,Nervous system s/s,Neurology,8,Abnormal Smell/Taste
Nervous system signs and symptoms,Slurred speech,Nervous system s/s,Neurology,7,Abnormal Speech
Nervous system signs and symptoms,Transient alteration of awareness,Nervous system s/s,Neurology,21,Abnormal Cognition
Nervous system signs and symptoms,"Tremor, unspecified",Nervous system s/s,Neurology,69,Tremor
Nervous system signs and symptoms,Unspecified abnormal involuntary movements,Nervous system s/s,Neurology,8,Abnormal Gait
Nervous system signs and symptoms,Unspecified abnormalities of gait and mobility,Nervous system s/s,Neurology,56,Abnormal Gait
Nervous system signs and symptoms,Unspecified disturbances of smell and taste,Nervous system s/s,Neurology,28,Abnormal Smell/Taste
Nervous system signs and symptoms,Unspecified speech disturbances,Nervous system s/s,Neurology,7,Abnormal Speech
Nervous system signs and symptoms,Unspecified symptoms and signs involving cognitive functions and awareness,Nervous system s/s,Neurology,14,Abnormal Cognition
Nervous system signs and symptoms,Unspecified symptoms and signs involving the nervous system,Nervous system s/s,Neurology,13,Other
Nervous system signs and symptoms,Unsteadiness on feet,Nervous system s/s,Neurology,41,Abnormal Gait
Other nervous system disorders,Acute transverse myelitis in demyelinating disease of central nervous system,Nervous System Disorders,Neurology,1,
Other nervous system disorders,Amyotrophic lateral sclerosis,Nervous System Disorders,Neurology,2,
Other nervous system disorders,Benign intracranial hypertension,Nervous System Disorders,Neurology,19,
Other nervous system disorders,Blepharospasm,Nervous System Disorders,Neurology,4,
Other nervous system disorders,Carotid sinus syncope,Nervous System Disorders,Neurology,1,
Other nervous system disorders,Cerebral cysts,Nervous System Disorders,Neurology,4,
Other nervous system disorders,Cerebral edema,Nervous System Disorders,Neurology,11,
Other nervous system disorders,Communicating hydrocephalus,Nervous System Disorders,Neurology,1,
Other nervous system disorders,Compression of brain,Nervous System Disorders,Neurology,6,
Other nervous system disorders,Conus medullaris syndrome,Nervous System Disorders,Neurology,1,
Other nervous system disorders,"Degenerative disease of nervous system, unspecified",Nervous System Disorders,Neurology,1,
Other nervous system disorders,"Demyelinating disease of central nervous system, unspecified",Nervous System Disorders,Neurology,17,
Other nervous system disorders,"Disease of spinal cord, unspecified",Nervous System Disorders,Neurology,34,
Other nervous system disorders,"Disorder of brain, unspecified",Nervous System Disorders,Neurology,29,
Other nervous system disorders,"Disorder of the autonomic nervous system, unspecified",Nervous System Disorders,Neurology,17,
Other nervous system disorders,Dural tear,Nervous System Disorders,Neurology,2,
Other nervous system disorders,"Dystonia, unspecified",Nervous System Disorders,Neurology,1,
Other nervous system disorders,"Encephalopathy, unspecified",Nervous System Disorders,Neurology,27,
Other nervous system disorders,Essential tremor,Nervous System Disorders,Neurology,18,
Other nervous system disorders,"Extrapyramidal and movement disorder, unspecified",Nervous System Disorders,Neurology,1,
Other nervous system disorders,Familial dysautonomia [Riley-Day],Nervous System Disorders,Neurology,33,
Other nervous system disorders,"Hydrocephalus, unspecified",Nervous System Disorders,Neurology,2,
Other nervous system disorders,Idiopathic orofacial dystonia,Nervous System Disorders,Neurology,3,
Other nervous system disorders,Influenza due to other identified influenza virus with encephalopathy,Nervous System Disorders,Neurology,1,
Other nervous system disorders,Intracranial and intraspinal phlebitis and thrombophlebitis,Nervous System Disorders,Neurology,4,
Other nervous system disorders,Metabolic encephalopathy,Nervous System Disorders,Neurology,6,
Other nervous system disorders,Mild cognitive impairment of uncertain or unknown etiology,Nervous System Disorders,Neurology,34,
Other nervous system disorders,"Motor neuron disease, unspecified",Nervous System Disorders,Neurology,2,
