phenx,ICD10_desc,combo,Organ,count,Subcombo
Other specified and unspecified circulatory disease,Unspecified disorder of circulatory system,Circulatory disorder,Cardiovascular,4,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with inflammation of left lower extremity,Venous HTN/Insufficiency ,Cardiovascular,1,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with inflammation of right lower extremity,Venous HTN/Insufficiency ,Cardiovascular,1,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with other complications of bilateral lower extremity,Venous HTN/Insufficiency ,Cardiovascular,4,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with other complications of left lower extremity,Venous HTN/Insufficiency ,Cardiovascular,3,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity,Venous HTN/Insufficiency ,Cardiovascular,1,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with ulcer of left lower extremity,Venous HTN/Insufficiency ,Cardiovascular,3,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) with ulcer of right lower extremity,Venous HTN/Insufficiency ,Cardiovascular,2,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) without complications of bilateral lower extremity,Venous HTN/Insufficiency ,Cardiovascular,2,
Postthrombotic syndrome and venous insufficiency/hypertension,Chronic venous hypertension (idiopathic) without complications of unspecified lower extremity,Venous HTN/Insufficiency ,Cardiovascular,1,
Postthrombotic syndrome and venous insufficiency/hypertension,Compression of vein,Venous HTN/Insufficiency ,Cardiovascular,12,
Postthrombotic syndrome and venous insufficiency/hypertension,Postthrombotic syndrome without complications of left lower extremity,Venous HTN/Insufficiency ,Cardiovascular,1,
Postthrombotic syndrome and venous insufficiency/hypertension,Postthrombotic syndrome without complications of right lower extremity,Venous HTN/Insufficiency ,Cardiovascular,2,
Postthrombotic syndrome and venous insufficiency/hypertension,Postthrombotic syndrome without complications of unspecified extremity,Venous HTN/Insufficiency ,Cardiovascular,2,
Postthrombotic syndrome and venous insufficiency/hypertension,Varicose veins of other specified sites,Venous HTN/Insufficiency ,Cardiovascular,19,
Postthrombotic syndrome and venous insufficiency/hypertension,Venous insufficiency (chronic) (peripheral),Venous HTN/Insufficiency ,Cardiovascular,167,
Disorders of lipid metabolism,"Hyperlipidemia, unspecified",Dyslipidemia,Endocrine,293,Hyperlipidemia
Disorders of lipid metabolism,Mixed hyperlipidemia,Dyslipidemia,Endocrine,177,Hyperlipidemia
Disorders of lipid metabolism,Pure hyperglyceridemia,Dyslipidemia,Endocrine,41,Hyperlipidemia
Abnormal findings without diagnosis,"Abnormal level of hormones in specimens from other organs, systems and tissues",Pancreas,Endocrine,1,Abnormal hormone
Abnormal findings without diagnosis,Abnormal results of other endocrine function studies,Pancreas,Endocrine,1,Abnormal hormone
Abnormal findings without diagnosis,"Hyperglycemia, unspecified",Pancreas,Endocrine,73,Hyperglycemia
Abnormal findings without diagnosis,Impaired fasting glucose,Pancreas,Endocrine,25,Abnormal glucose
Abnormal findings without diagnosis,Impaired glucose tolerance (oral),Pancreas,Endocrine,26,Abnormal glucose
Abnormal findings without diagnosis,Other abnormal glucose,Pancreas,Endocrine,118,Abnormal glucose
Diabetes mellitus,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Pancreas,Endocrine,1,Diabetes mellitus
Diabetes mellitus,Diabetes mellitus due to underlying condition without complications,Pancreas,Endocrine,1,Diabetes mellitus
Diabetes mellitus,Drug or chemical induced diabetes mellitus without complications,Pancreas,Endocrine,2,Diabetes mellitus
Diabetes mellitus,Other specified diabetes mellitus with hyperglycemia,Pancreas,Endocrine,3,Diabetes mellitus
Diabetes mellitus,Other specified diabetes mellitus without complications,Pancreas,Endocrine,7,Diabetes mellitus
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with hyperglycemia,Pancreas,Endocrine,143,Diabetes mellitus
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),Pancreas,Endocrine,3,Diabetes mellitus
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with hypoglycemia without coma,Pancreas,Endocrine,2,Diabetes mellitus
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with other specified complication,Pancreas,Endocrine,14,Diabetes mellitus
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus with unspecified complications,Pancreas,Endocrine,6,Diabetes mellitus
"Diabetes mellitus, Type 2",Type 2 diabetes mellitus without complications,Pancreas,Endocrine,432,Diabetes mellitus
Abnormal findings without diagnosis,Abnormal results of thyroid function studies,Thyroid,Endocrine,8,Abnormal Labs
Thyroid disorders,Acute thyroiditis,Thyroid,Endocrine,1,Thyroiditis
Thyroid disorders,Atrophy of thyroid (acquired),Thyroid,Endocrine,2,Hypothyroidism
Thyroid disorders,Autoimmune thyroiditis,Thyroid,Endocrine,22,Thyroiditis
Thyroid disorders,"Disorder of thyroid, unspecified",Thyroid,Endocrine,15,Other
Thyroid disorders,Hypothyroidism due to medicaments and other exogenous substances,Thyroid,Endocrine,8,Hypothyroidism
Thyroid disorders,"Hypothyroidism, unspecified",Thyroid,Endocrine,199,Hypothyroidism
Thyroid disorders,Iodine-deficiency related diffuse (endemic) goiter,Thyroid,Endocrine,6,Goiter
Thyroid disorders,Nontoxic diffuse goiter,Thyroid,Endocrine,1,Goiter
Thyroid disorders,"Nontoxic goiter, unspecified",Thyroid,Endocrine,59,Goiter
Thyroid disorders,Nontoxic multinodular goiter,Thyroid,Endocrine,102,Goiter
Thyroid disorders,Nontoxic single thyroid nodule,Thyroid,Endocrine,220,Nodule
Thyroid disorders,Other specified disorders of thyroid,Thyroid,Endocrine,4,Other
Thyroid disorders,Other specified hypothyroidism,Thyroid,Endocrine,59,Hypothyroidism
Thyroid disorders,Other thyrotoxicosis without thyrotoxic crisis or storm,Thyroid,Endocrine,4,Thyrotoxicosis
Thyroid disorders,Postprocedural hypothyroidism,Thyroid,Endocrine,7,Hypothyroidism
Thyroid disorders,Sick-euthyroid syndrome,Thyroid,Endocrine,3,Other
Thyroid disorders,Subacute thyroiditis,Thyroid,Endocrine,2,Thyroiditis
Thyroid disorders,Subclinical iodine-deficiency hypothyroidism,Thyroid,Endocrine,2,Hypothyroidism
Thyroid disorders,"Thyroiditis, unspecified",Thyroid,Endocrine,10,Thyroiditis
Thyroid disorders,Thyrotoxicosis with diffuse goiter without thyrotoxic crisis or storm,Thyroid,Endocrine,12,Thyrotoxicosis
Thyroid disorders,Thyrotoxicosis with toxic multinodular goiter without thyrotoxic crisis or storm,Thyroid,Endocrine,1,Thyrotoxicosis
Thyroid disorders,"Thyrotoxicosis, unspecified without thyrotoxic crisis or storm",Thyroid,Endocrine,65,Thyrotoxicosis
Hearing loss,"Conductive hearing loss, bilateral",Hearing loss,Eyes & Ears,12,
Hearing loss,"Conductive hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",Hearing loss,Eyes & Ears,6,
Hearing loss,"Conductive hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",Hearing loss,Eyes & Ears,8,
Hearing loss,"Conductive hearing loss, unspecified",Hearing loss,Eyes & Ears,6,
Hearing loss,"Mixed conductive and sensorineural hearing loss, bilateral",Hearing loss,Eyes & Ears,9,
Hearing loss,"Mixed conductive and sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",Hearing loss,Eyes & Ears,3,
Hearing loss,"Mixed conductive and sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",Hearing loss,Eyes & Ears,1,
Hearing loss,"Mixed conductive and sensorineural hearing loss, unspecified",Hearing loss,Eyes & Ears,2,
Hearing loss,"Other specified hearing loss, bilateral",Hearing loss,Eyes & Ears,4,
Hearing loss,"Other specified hearing loss, left ear",Hearing loss,Eyes & Ears,3,
Hearing loss,"Other specified hearing loss, right ear",Hearing loss,Eyes & Ears,1,
Hearing loss,"Other specified hearing loss, unspecified ear",Hearing loss,Eyes & Ears,4,
Hearing loss,"Sensorineural hearing loss, bilateral",Hearing loss,Eyes & Ears,110,
Hearing loss,"Sensorineural hearing loss, unilateral, left ear, with unrestricted hearing on the contralateral side",Hearing loss,Eyes & Ears,17,
Hearing loss,"Sensorineural hearing loss, unilateral, right ear, with unrestricted hearing on the contralateral side",Hearing loss,Eyes & Ears,13,
Hearing loss,"Sudden idiopathic hearing loss, bilateral",Hearing loss,Eyes & Ears,1,
Hearing loss,"Sudden idiopathic hearing loss, left ear",Hearing loss,Eyes & Ears,4,
Hearing loss,"Sudden idiopathic hearing loss, right ear",Hearing loss,Eyes & Ears,6,
Hearing loss,"Sudden idiopathic hearing loss, unspecified ear",Hearing loss,Eyes & Ears,8,
Hearing loss,"Unspecified hearing loss, bilateral",Hearing loss,Eyes & Ears,95,
Hearing loss,"Unspecified hearing loss, left ear",Hearing loss,Eyes & Ears,18,
Hearing loss,"Unspecified hearing loss, right ear",Hearing loss,Eyes & Ears,19,
Hearing loss,"Unspecified hearing loss, unspecified ear",Hearing loss,Eyes & Ears,91,
Hearing loss,Unspecified sensorineural hearing loss,Hearing loss,Eyes & Ears,23,
